dest_ip,metadata_comment
2a06:de05:62df::/48,AS53667 IPv6
2a06:de05:6302::/48,AS53667 IPv6
23.183.82.0/24,AS53667 IPv4
2a06:de05:6267::/48,AS53667 IPv6
2a06:de05:6027::/48,AS53667 IPv6
2a06:de05:625a::/48,AS53667 IPv6
2a06:de05:636f::/48,AS53667 IPv6
2a06:de05:61e5::/48,AS53667 IPv6
2a06:de05:60c4::/48,AS53667 IPv6
2605:6400:9003::/48,AS53667 IPv6
2a06:de05:629b::/48,AS53667 IPv6
104.244.75.0/24,AS53667 IPv4
199.195.248.0/21,AS53667 IPv4
2a06:de05:6231::/48,AS53667 IPv6
2a06:de05:636e::/48,AS53667 IPv6
198.251.83.0/24,AS53667 IPv4
2605:6400:4000::/34,AS53667 IPv6
104.244.73.0/24,AS53667 IPv4
2605:6400:c000::/34,AS53667 IPv6
2a06:de05:6215::/48,AS53667 IPv6
209.141.32.0/19,AS53667 IPv4
2a06:de05:6016::/48,AS53667 IPv6
2a06:de05:6370::/48,AS53667 IPv6
2a06:de05:60fd::/48,AS53667 IPv6
2a06:de05:637f::/48,AS53667 IPv6
2605:6400:10::/48,AS53667 IPv6
2a06:de05:6072::/48,AS53667 IPv6
2605:6400:30::/48,AS53667 IPv6
2a06:de05:6116::/48,AS53667 IPv6
2a06:de05:619c::/48,AS53667 IPv6
198.251.86.0/24,AS53667 IPv4
104.244.72.0/21,AS53667 IPv4
2a06:de05:6238::/48,AS53667 IPv6
2a06:de05:639b::/48,AS53667 IPv6
2a06:de05:63bd::/48,AS53667 IPv6
2605:6400:20::/48,AS53667 IPv6
2a06:de05:627b::/48,AS53667 IPv6
205.185.112.0/24,AS53667 IPv4
2a06:de05:6098::/48,AS53667 IPv6
198.251.84.0/24,AS53667 IPv4
2a06:de05:6114::/48,AS53667 IPv6
2a06:de05:63fd::/48,AS53667 IPv6
2a06:de05:63e2::/48,AS53667 IPv6
198.251.89.0/24,AS53667 IPv4
2a06:de05:6003::/48,AS53667 IPv6
2a06:de05:62a6::/48,AS53667 IPv6
2a06:de05:6017::/48,AS53667 IPv6
2605:6400:9001::/48,AS53667 IPv6
2a06:de05:6101::/48,AS53667 IPv6
2605:6400:3::/48,AS53667 IPv6
2605:6400:40::/48,AS53667 IPv6
2a06:de05:6359::/48,AS53667 IPv6
2604:4d40:2000::/36,AS53667 IPv6
104.244.72.0/24,AS53667 IPv4
2a06:de05:608f::/48,AS53667 IPv6
2a06:de05:6320::/48,AS53667 IPv6
2605:6400:8000::/34,AS53667 IPv6
2a06:de05:61dc::/48,AS53667 IPv6
2a06:de05:61b0::/48,AS53667 IPv6
2a06:de05:63b6::/48,AS53667 IPv6
205.185.112.0/20,AS53667 IPv4
2a06:de05:613e::/48,AS53667 IPv6
2a06:de05:6118::/48,AS53667 IPv6
198.251.81.0/24,AS53667 IPv4
2605:6400:1004::/48,AS53667 IPv6
2a06:de05:639d::/48,AS53667 IPv6
209.141.39.0/24,AS53667 IPv4
2a06:de05:62f0::/48,AS53667 IPv6
2a06:de05:61c3::/48,AS53667 IPv6
23.183.80.0/24,AS53667 IPv4
107.189.14.0/24,AS53667 IPv4
2a06:de05:6010::/48,AS53667 IPv6
2a06:de05:6133::/48,AS53667 IPv6
2a06:de05:6070::/48,AS53667 IPv6
198.251.82.0/24,AS53667 IPv4
2a06:de05:60f7::/48,AS53667 IPv6
